ActiveTime,InactiveTime,AckedTime,Alarm,Severity,Priority,Tag1Value,Tag2Value,Tag3Value,Tag4Value,Duration,Message,SuppressedTime,DisabledTime,InputValue,LimitValue,ShelvedTime,AlarmClass,EventAssociationID,ServerName,Source,EventID,SuppressedB,DisabledB,ShelvedB,ActiveHour,Machine,tStartHour,tStartHourMachine
2020-03-31 21:28:24.883,2020-03-31 21:29:24.933,NULL,TW_JawJam_Alarm TRIP,500,2,,,5,181290,1,Tray Loader - Jaws are jammed Alarm.,NULL,NULL,1,0,NULL,,D438507F-748A-4B24-B2A3-8E115396D49D,RSLE,[L1]Program:Loader.TW_JawJam_Alarm TRIP,D6619C49-E1C6-49D2-9831-9EE26EB27F8C,NULL,NULL,NULL,21,Loader,2020-03-31 21:00:00.000,2020-3-31 21_Loader
2020-03-30 14:04:53.503,2020-03-30 14:05:53.553,NULL,OV_BearingFault_Alarm TRIP,500,2,,,16,181274,1,Oven - Bearing FAULT Alarm.,NULL,NULL,1,0,NULL,,4E1F30E6-CDC1-421A-A848-8E6D85E1A802,RSLE,[L1]Program:Oven.OV_BearingFault_Alarm TRIP,B6E3252B-852B-42A9-AFC4-568C20C3F480,NULL,NULL,NULL,14,Oven,2020-03-30 14:00:00.000,2020-3-30 14_Oven
2020-03-24 22:23:24.147,2020-03-24 22:24:24.197,NULL,OV_BearingFault_Alarm TRIP,500,2,,,16,176005,1,Oven - Bearing FAULT Alarm.,NULL,NULL,1,0,NULL,,E47D43D6-243E-44B0-9E30-8E7155AD69BB,RSLE,[L1]Program:Oven.OV_BearingFault_Alarm TRIP,299BEF8A-4A63-4F1D-9DC6-1F49076C89E0,NULL,NULL,NULL,22,Oven,2020-03-24 22:00:00.000,2020-3-24 22_Oven
2020-03-07 02:08:30.667,2020-03-07 02:09:30.717,NULL,CP_NoGlue_Alarm TRIP,500,2,,,5,169378,1,Case Packer - NO Glue in place Alarm. Replace cartridge.,NULL,NULL,1,0,NULL,,8AA1DE74-4A18-476A-A074-8E73A1A6FE28,RSLE,[L1]Program:Packer.CP_NoGlue_Alarm TRIP,864283D3-14CB-4BD0-9540-B2B21F5C3473,NULL,NULL,NULL,2,Packer,2020-03-07 02:00:00.000,2020-3-7 2_Packer
2020-04-06 02:00:38.203,2020-04-06 02:01:43.253,NULL,OV_BeltSpeed_Alarm LO,500,2,,,2,186629,1,Oven - Belt Speed is LOW warning. The limit is set to: The limit is: 15.0.,NULL,NULL,14.90001,15,NULL,,18B52CCB-46D0-49EB-B52A-8E7FB61D2221,RSLE,[L1]Program:Oven.OV_BeltSpeed_Alarm LO,1AA08A0E-3000-4C0E-80C1-F34E482D2EC7,NULL,NULL,NULL,2,Oven,2020-04-06 02:00:00.000,2020-4-6 2_Oven
2020-04-06 02:00:39.053,2020-04-06 02:01:42.453,NULL,OV_BeltSpeed_Alarm LOLO,500,2,,,2,186629,1,Oven - Belt Speed is too LOW. Product will be rejected.,NULL,NULL,9.800006,10,NULL,,18B52CCB-46D0-49EB-B52A-8E7FB61D2221,RSLE,[L1]Program:Oven.OV_BeltSpeed_Alarm LOLO,DA0E6DF9-BE43-44A6-A95C-CD20E2853C5D,NULL,NULL,NULL,2,Oven,2020-04-06 02:00:00.000,2020-4-6 2_Oven
2020-03-05 05:16:23.913,2020-03-05 05:17:24.013,NULL,Depositor_BearingVibAlarm TRIP,500,2,13,,20,168620,1,Depositor Bearing HIGH Vibration detected,NULL,NULL,1,0,NULL,,F554D9A4-2E09-4B3C-95B2-8EAF66567D27,RSLE,[L1]Program:Depositor.Depositor_BearingVibAlarm TRIP,42EC4520-3425-45AA-A859-E66D3DE4A19D,NULL,NULL,NULL,5,Depositor,2020-03-05 05:00:00.000,2020-3-5 5_Depositor
2020-03-21 14:05:52.800,2020-03-21 14:06:55.850,2020-03-21 14:05:52.800,CL_TunnelTemp_Alarm LO,500,2,,,19,174395,1,Cooling Tunnel - Low Temperature warning. Limit is set to: The limit is: 14.0.,NULL,NULL,13.9999,14,NULL,,2341AED8-27B2-43B5-874E-8EB545FEB967,RSLE,[L1]Program:Cooling.CL_TunnelTemp_Alarm LO,6E7C6F93-3CE2-4CA1-B5E7-73F4283911E7,NULL,NULL,NULL,14,Cooling,2020-03-21 14:00:00.000,2020-3-21 14_Cooling
2020-04-07 02:08:39.933,2020-04-07 02:09:42.233,NULL,TW_JawTemperature_Alarm HI,500,2,,,11,187839,1,Tray Wrapper - Jaw temperature HIGH warning. The limit is: 180.0.,NULL,NULL,180.062,180,NULL,,378BC6EE-6491-44DE-8F89-8EE4A72FBE45,RSLE,[L1]Program:Wrapper.TW_JawTemperature_Alarm HI,D41E67F1-73F1-48B4-8745-8B278E3C8618,NULL,NULL,NULL,2,Wrapper,2020-04-07 02:00:00.000,2020-4-7 2_Wrapper
2020-03-07 06:34:47.800,2020-03-07 06:34:57.850,NULL,Mixer_ScrapMix TRIP,500,2,,,3,169517,0,Mixer Mix has been Determined to be Scrap,NULL,NULL,1,0,NULL,,588D2A01-C5A2-451A-87EF-8F1B045A45E9,RSLE,[L1]Program:Mixer.Mixer_ScrapMix TRIP,4C345647-017E-4F75-B494-128FC843BE9C,NULL,NULL,NULL,6,Mixer,2020-03-07 06:00:00.000,2020-3-7 6_Mixer
